games_idx,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V Runs Allowed,H Runs Allowed,Home Wins?,Prediction Correct?
5240,20120504,MIN,AL,SEA,AL,3,2,pavac001,vargj001,False,1,-1,4.2,2.8,True,False
5241,20120504,OAK,AL,TBA,AL,2,7,rosst001,pricd001,True,-5,5,4.0,4.4,False,False
5242,20120504,LAN,NL,CHN,NL,4,5,billc001,mahop002,True,-1,1,4.8,6.6,False,False
5243,20120504,ATL,NL,COL,NL,9,8,hudst001,moscg001,False,1,-1,4.8,3.6,True,False
5244,20120504,SLN,NL,HOU,NL,4,5,lohsk001,harrl002,True,-1,1,2.4,8.4,False,False
5245,20120504,ARI,NL,NYN,NL,5,4,milew001,gee-d001,False,1,-1,4.4,4.8,False,True
5246,20120504,CIN,NL,PIT,NL,6,1,cuetj001,corrk001,False,5,-5,5.0,8.4,False,True
5247,20120504,MIA,NL,SDN,NL,9,8,johnj009,bassa001,False,1,-1,4.0,999.0,False,True
5248,20120504,MIL,NL,SFN,NL,6,4,greiz001,linct001,False,2,-2,3.0,3.2,False,True
5249,20120504,PHI,NL,WAS,NL,3,4,kendk001,stras001,True,-1,1,5.4,3.6,True,True
5250,20120505,TOR,AL,ANA,AL,2,6,drabk001,wilsc004,True,-4,4,3.2,3.6,False,False
5251,20120505,BAL,AL,BOS,AL,8,2,hammj002,cooka002,False,6,-6,2.4,4.6,False,True
5252,20120505,TEX,AL,CLE,AL,5,2,holld003,lowed001,False,3,-3,4.0,5.0,False,True
5253,20120505,CHA,AL,DET,AL,3,2,floyg001,schem001,False,1,-1,4.6,5.8,False,True
5254,20120505,NYA,AL,KCA,AL,1,5,kuroh001,paulf001,True,-4,4,6.4,5.4,True,True
5255,20120505,MIN,AL,SEA,AL,0,7,marqj001,hernf002,True,-7,7,5.8,3.8,True,True
5256,20120505,OAK,AL,TBA,AL,4,3,colob001,hellj001,False,1,-1,3.2,2.4,True,False
5257,20120505,LAN,NL,CHN,NL,5,1,capuc001,volsc001,False,4,-4,5.0,6.2,False,True
5258,20120505,ATL,NL,COL,NL,13,9,minom001,moyej001,False,4,-4,4.2,4.2,True,False
5259,20120505,SLN,NL,HOU,NL,2,8,garcj004,norrb001,True,-6,6,3.8,3.4,True,True
5260,20120505,ARI,NL,NYN,NL,3,4,corbp001,santj003,True,-1,1,999.0,1.8,True,True
5261,20120505,CIN,NL,PIT,NL,2,3,leakm001,mcdoj004,True,-1,1,4.6,3.2,True,True
5262,20120505,MIA,NL,SDN,NL,4,1,buehm001,richc002,False,3,-3,4.6,2.8,True,False
5263,20120505,MIL,NL,SFN,NL,2,5,wolfr001,bumgm001,True,-3,3,4.8,0.8,True,True
5264,20120505,PHI,NL,WAS,NL,1,7,worlv001,gonzg003,True,-6,6,3.4,3.0,True,True
5265,20120506,TOR,AL,ANA,AL,3,4,hutcd001,willj003,True,-1,1,999.0,1.4,True,True
5266,20120506,BAL,AL,BOS,AL,9,6,huntt002,buchc001,False,3,-3,5.6,4.6,True,False
5267,20120506,TEX,AL,CLE,AL,2,4,darvy001,jimeu001,True,-2,2,999.0,6.0,True,True
5268,20120506,CHA,AL,DET,AL,1,3,axeld001,porcr001,True,-2,2,999.0,4.8,True,True
5269,20120506,NYA,AL,KCA,AL,10,4,hughp001,hochl001,False,6,-6,4.6,4.0,True,False
5270,20120506,MIN,AL,SEA,AL,2,5,blacn001,noesh001,True,-3,3,8.8,999.0,False,False
5271,20120506,OAK,AL,TBA,AL,9,5,milot001,moorm003,False,4,-4,4.8,999.0,False,True
5272,20120506,LAN,NL,CHN,NL,3,4,haraa001,woodt004,True,-1,1,5.6,5.4,True,True
5273,20120506,ATL,NL,COL,NL,7,2,beacb001,nicaj001,False,5,-5,3.6,3.8,False,True
5274,20120506,SLN,NL,HOU,NL,8,1,waina001,happj001,False,7,-7,3.6,3.0,True,False
5275,20120506,ARI,NL,NYN,NL,1,3,cahit001,dickr001,True,-2,2,2.4,1.6,True,True
5276,20120506,CIN,NL,PIT,NL,5,0,latom001,mortc002,False,5,-5,4.2,2.4,True,False
5277,20120506,MIA,NL,SDN,NL,6,3,nolar001,wielj001,False,3,-3,4.0,999.0,False,True
5278,20120506,MIL,NL,SFN,NL,3,4,marcs001,cainm001,True,-1,1,2.0,1.2,True,True
5279,20120506,PHI,NL,WAS,NL,9,3,hamec001,zimmj003,False,6,-6,2.4,2.2,True,False
5280,20120507,TEX,AL,BAL,AL,14,3,harrm001,matub001,False,11,-11,3.4,7.0,False,True
5281,20120507,CHA,AL,CLE,AL,6,8,humbp001,mcalz001,True,-2,2,5.0,999.0,False,False
5282,20120507,CHA,AL,CLE,AL,2,3,stule002,tomlj001,True,-1,1,999.0,4.0,True,True
5283,20120507,BOS,AL,KCA,AL,11,5,doubf001,sancj002,False,6,-6,999.0,7.2,True,False
5284,20120507,ANA,AL,MIN,AL,8,3,weavj003,lirif001,False,5,-5,4.2,5.6,False,True
5285,20120507,DET,AL,SEA,AL,2,3,fistd001,beavb001,True,-1,1,2.8,3.4,False,False
5286,20120507,SLN,NL,ARI,NL,9,6,lynnl001,saunj001,False,3,-3,999.0,2.6,True,False
5287,20120507,ATL,NL,CHN,NL,1,5,hanst001,samaj001,True,-4,4,4.8,999.0,False,False
5288,20120507,MIA,NL,HOU,NL,4,0,zambc001,rodrw002,False,4,-4,4.6,3.2,True,False
5289,20120507,SFN,NL,LAN,NL,1,9,zitob001,lillt001,True,-8,8,4.6,3.0,True,True
5290,20120507,CIN,NL,MIL,NL,6,1,arrob001,estrm001,False,5,-5,4.6,3.0,True,False
5291,20120507,NYN,NL,PHI,NL,5,2,niesj001,hallr001,False,3,-3,4.8,3.2,True,False
